,Year,Month,Day,max_t,min_t,gdd
0,2013,1,1,,,
1,2013,1,2,-2.3,-6.5,0.0
2,2013,1,3,-1.9,-5.7,0.0
3,2013,1,4,-3.8,-7.6,0.0
4,2013,1,5,-0.6,-10.5,0.0
5,2013,1,6,-3.5,-11.8,0.0
6,2013,1,7,-3.4,-11.9,0.0
7,2013,1,8,0.0,-11.2,0.0
8,2013,1,9,-0.6,-11.0,0.0
9,2013,1,10,,,
10,2013,1,11,,,
11,2013,1,12,3.9,0.2,0.0
12,2013,1,13,3.8,0.7,0.0
13,2013,1,14,6.4,-1.1,0.0
14,2013,1,15,3.6,-7.2,0.0
15,2013,1,16,-5.8,-7.9,0.0
16,2013,1,17,0.5,-9.0,0.0
17,2013,1,18,-1.4,-16.4,0.0
18,2013,1,19,-0.2,-16.3,0.0
19,2013,1,20,,,
20,2013,1,21,6.6,-6.0,0.0
21,2013,1,22,,,
22,2013,1,23,,,
23,2013,1,24,-7.4,-12.5,0.0
24,2013,1,25,,,
25,2013,1,26,-3.4,-8.7,0.0
26,2013,1,27,-6.4,-9.3,0.0
27,2013,1,28,,,
28,2013,1,29,-5.9,-12.3,0.0
29,2013,1,30,1.7,-6.1,0.0
30,2013,1,31,,,
31,2013,2,1,,,
32,2013,2,2,-1.3,-7.5,0.0
33,2013,2,3,-0.9,-7.7,0.0
34,2013,2,4,,,
35,2013,2,5,,,
36,2013,2,6,-4.5,-8.0,0.0
37,2013,2,7,,,
38,2013,2,8,,,
39,2013,2,9,,,
40,2013,2,10,,,
41,2013,2,11,-1.2,-8.3,0.0
42,2013,2,12,1.1,-9.1,0.0
43,2013,2,13,1.2,-2.4,0.0
44,2013,2,14,0.6,-2.4,0.0
45,2013,2,15,-1.7,-3.4,0.0
46,2013,2,16,0.0,-4.8,0.0
47,2013,2,17,1.8,-5.5,0.0
48,2013,2,18,4.0,-1.8,0.0
49,2013,2,19,0.6,-1.9,0.0
50,2013,2,20,,,
51,2013,2,21,-0.2,-1.0,0.0
52,2013,2,22,-0.7,-4.3,0.0
53,2013,2,23,-3.3,-5.0,0.0
54,2013,2,24,-4.1,-12.3,0.0
55,2013,2,25,-4.4,-12.3,0.0
56,2013,2,26,-2.9,-5.3,0.0
57,2013,2,27,-2.3,-4.2,0.0
58,2013,2,28,0.0,-2.7,0.0
59,2013,3,1,1.7,-2.0,0.0
60,2013,3,2,3.2,-1.9,0.0
61,2013,3,3,2.7,0.4,0.0
62,2013,3,4,2.0,0.1,0.0
63,2013,3,5,0.8,-1.8,0.0
64,2013,3,6,0.8,-2.7,0.0
65,2013,3,7,0.8,-4.3,0.0
66,2013,3,8,-0.9,-4.1,0.0
67,2013,3,9,0.0,-1.7,0.0
68,2013,3,10,-1.5,-4.3,0.0
69,2013,3,11,0.0,-4.9,0.0
70,2013,3,12,6.2,-2.2,0.0
71,2013,3,13,7.7,0.7,0.0
72,2013,3,14,4.8,0.4,0.0
73,2013,3,15,4.4,0.3,0.0
74,2013,3,16,4.6,-2.9,0.0
75,2013,3,17,0.1,-4.9,0.0
76,2013,3,18,-2.6,-10.0,0.0
77,2013,3,19,0.9,-10.0,0.0
78,2013,3,20,3.7,0.0,0.0
79,2013,3,21,5.7,-0.6,0.0
80,2013,3,22,7.4,-2.0,0.0
81,2013,3,23,,,
82,2013,3,24,,,
83,2013,3,25,0.0,-1.8,0.0
84,2013,3,26,,,
85,2013,3,27,,,
86,2013,3,28,,,
87,2013,3,29,0.0,-2.0,0.0
88,2013,3,30,0.6,-2.3,0.0
89,2013,3,31,-0.5,-5.6,0.0
90,2013,4,1,4.1,-6.0,0.0
91,2013,4,2,3.3,-1.6,0.0
92,2013,4,3,3.4,-3.2,0.0
93,2013,4,4,1.7,-3.1,0.0
94,2013,4,5,6.7,-2.2,0.0
95,2013,4,6,,,
96,2013,4,7,3.7,-3.5,0.0
97,2013,4,8,5.5,-4.1,0.0
98,2013,4,9,6.8,-3.7,0.0
99,2013,4,10,4.6,-2.0,0.0
100,2013,4,11,,,
101,2013,4,12,2.3,-2.7,0.0
102,2013,4,13,5.0,-3.5,0.0
103,2013,4,14,2.4,-2.9,0.0
104,2013,4,15,,,
105,2013,4,16,5.4,-3.7,0.0
106,2013,4,17,,,
107,2013,4,18,6.3,-4.5,0.0
108,2013,4,19,,,
109,2013,4,20,14.8,7.0,0.9
110,2013,4,21,13.5,-2.2,0.0
111,2013,4,22,3.2,-6.6,0.0
112,2013,4,23,10.5,-7.3,0.0
113,2013,4,24,9.5,-2.6,0.0
114,2013,4,25,12.6,0.6,0.0
115,2013,4,26,15.4,3.3,0.0
116,2013,4,27,12.9,4.4,0.0
117,2013,4,28,12.4,2.8,0.0
118,2013,4,29,6.8,2.0,0.0
119,2013,4,30,7.7,2.8,0.0
120,2013,5,1,10.9,0.3,0.0
121,2013,5,2,3.7,1.1,0.0
122,2013,5,3,8.9,-0.4,0.0
123,2013,5,4,9.4,-1.5,0.0
124,2013,5,5,18.5,-0.4,0.0
125,2013,5,6,7.9,-0.4,0.0
126,2013,5,7,,,
127,2013,5,8,6.2,-2.2,0.0
128,2013,5,9,15.8,-0.5,0.0
129,2013,5,10,17.4,8.8,3.1
130,2013,5,11,13.1,1.7,0.0
131,2013,5,12,21.4,5.0,3.2
132,2013,5,13,20.6,14.0,7.3
133,2013,5,14,20.2,9.4,4.8
134,2013,5,15,12.6,6.0,0.0
135,2013,5,16,10.1,4.3,0.0
136,2013,5,17,12.8,1.9,0.0
137,2013,5,18,3.5,1.8,0.0
138,2013,5,19,3.6,0.7,0.0
139,2013,5,20,2.2,-1.3,0.0
140,2013,5,21,8.8,-1.0,0.0
141,2013,5,22,13.2,1.3,0.0
142,2013,5,23,,,
143,2013,5,24,19.7,6.1,2.9
144,2013,5,25,22.3,15.5,8.9
145,2013,5,26,21.8,11.3,6.55
146,2013,5,27,19.6,6.0,2.8
147,2013,5,28,14.1,2.1,0.0
148,2013,5,29,10.0,2.1,0.0
149,2013,5,30,16.1,3.6,0.0
150,2013,5,31,12.4,5.5,0.0
151,2013,6,1,12.8,1.5,0.0
152,2013,6,2,,,
153,2013,6,3,,,
154,2013,6,4,21.7,11.7,6.7
155,2013,6,5,16.7,3.5,0.1
156,2013,6,6,15.0,3.3,0.0
157,2013,6,7,14.8,4.6,0.0
158,2013,6,8,12.6,3.7,0.0
159,2013,6,9,5.0,2.6,0.0
160,2013,6,10,17.0,2.2,0.0
161,2013,6,11,16.0,5.4,0.7
162,2013,6,12,11.3,1.6,0.0
163,2013,6,13,4.8,2.6,0.0
164,2013,6,14,7.0,4.7,0.0
165,2013,6,15,,,
166,2013,6,16,19.7,7.5,3.6
167,2013,6,17,19.2,7.4,3.3
168,2013,6,18,19.2,9.3,4.25
169,2013,6,19,15.2,9.5,2.35
170,2013,6,20,17.5,9.4,3.45
171,2013,6,21,21.9,10.0,5.95
172,2013,6,22,19.8,9.3,4.55
173,2013,6,23,25.0,9.6,7.3
174,2013,6,24,18.6,12.1,5.35
175,2013,6,25,15.5,6.7,1.1
176,2013,6,26,18.3,6.2,2.25
177,2013,6,27,10.9,6.2,0.0
178,2013,6,28,10.6,6.9,0.0
179,2013,6,29,23.8,7.6,5.7
180,2013,6,30,23.8,17.4,10.6
181,2013,7,1,21.0,14.2,7.6
182,2013,7,2,17.5,6.1,1.8
183,2013,7,3,22.8,6.7,4.75
184,2013,7,4,23.9,10.6,7.25
185,2013,7,5,,,
186,2013,7,6,28.7,12.2,10.45
187,2013,7,7,26.4,12.0,9.2
188,2013,7,8,18.5,9.5,4.0
189,2013,7,9,17.9,7.5,2.7
190,2013,7,10,14.5,4.2,0.0
191,2013,7,11,18.3,3.5,0.9
192,2013,7,12,26.5,11.3,8.9
193,2013,7,13,23.4,16.1,9.75
194,2013,7,14,27.3,15.9,11.6
195,2013,7,15,31.2,15.1,13.15
196,2013,7,16,16.2,8.1,2.15
197,2013,7,17,19.7,7.3,3.5
198,2013,7,18,16.2,10.6,3.4
199,2013,7,19,20.3,7.8,4.05
200,2013,7,20,21.3,11.2,6.25
201,2013,7,21,26.5,12.7,9.6
202,2013,7,22,22.4,10.4,6.4
203,2013,7,23,23.8,11.7,7.75
204,2013,7,24,25.9,12.4,9.15
205,2013,7,25,28.3,21.5,14.9
206,2013,7,26,28.7,19.4,14.05
207,2013,7,27,28.4,19.1,13.75
208,2013,7,28,19.2,9.4,4.3
209,2013,7,29,17.9,9.6,3.75
210,2013,7,30,21.9,12.1,7.0
211,2013,7,31,24.9,14.8,9.85
212,2013,8,1,24.4,15.7,10.05
213,2013,8,2,24.8,14.7,9.75
214,2013,8,3,22.6,14.0,8.3
215,2013,8,4,20.8,15.9,8.35
216,2013,8,5,19.3,13.5,6.4
217,2013,8,6,22.5,13.9,8.2
218,2013,8,7,16.5,12.1,4.3
219,2013,8,8,,,
220,2013,8,9,23.7,14.9,9.3
221,2013,8,10,,,
222,2013,8,11,23.0,13.9,8.45
223,2013,8,12,23.7,13.9,8.8
224,2013,8,13,25.3,13.3,9.3
225,2013,8,14,20.0,14.6,7.3
226,2013,8,15,22.9,14.4,8.65
227,2013,8,16,17.0,11.4,4.2
228,2013,8,17,23.5,11.0,7.25
229,2013,8,18,21.4,14.4,7.9
230,2013,8,19,23.8,11.7,7.75
231,2013,8,20,12.2,3.8,0.0
232,2013,8,21,18.9,3.8,1.35
233,2013,8,22,24.4,16.1,10.25
234,2013,8,23,24.3,18.0,11.15
235,2013,8,24,19.5,9.7,4.6
236,2013,8,25,13.2,9.6,1.4
237,2013,8,26,19.5,10.6,5.05
238,2013,8,27,22.6,13.0,7.8
239,2013,8,28,22.4,9.8,6.1
240,2013,8,29,12.4,9.4,0.9
241,2013,8,30,18.9,12.4,5.65
242,2013,8,31,,,
243,2013,9,1,18.0,5.1,1.55
244,2013,9,2,17.5,9.7,3.6
245,2013,9,3,13.8,10.0,1.9
246,2013,9,4,23.0,12.9,7.95
247,2013,9,5,21.2,15.0,8.1
248,2013,9,6,,,
249,2013,9,7,19.5,6.8,3.15
250,2013,9,8,18.9,12.3,5.6
251,2013,9,9,17.0,9.6,3.3
252,2013,9,10,19.7,10.9,5.3
253,2013,9,11,16.9,11.2,4.05
254,2013,9,12,20.2,15.1,7.65
255,2013,9,13,25.0,16.2,10.6
256,2013,9,14,26.1,17.9,12.0
257,2013,9,15,23.3,13.3,8.3
258,2013,9,16,20.0,11.3,5.65
259,2013,9,17,17.6,3.6,0.6
260,2013,9,18,17.1,4.3,0.7
261,2013,9,19,18.8,7.8,3.3
262,2013,9,20,11.9,3.3,0.0
263,2013,9,21,13.1,3.1,0.0
264,2013,9,22,21.7,11.1,6.4
265,2013,9,23,19.2,13.5,6.35
266,2013,9,24,18.8,13.5,6.15
267,2013,9,25,14.8,11.1,2.95
268,2013,9,26,13.0,9.7,1.35
269,2013,9,27,9.8,5.9,0.0
270,2013,9,28,17.0,5.5,1.25
271,2013,9,29,20.8,11.2,6.0
272,2013,9,30,24.7,11.5,8.1
273,2013,10,1,23.1,12.9,8.0
274,2013,10,2,23.1,12.4,7.75
275,2013,10,3,17.7,9.7,3.7
276,2013,10,4,11.9,6.6,0.0
277,2013,10,5,9.5,6.7,0.0
278,2013,10,6,8.2,3.8,0.0
279,2013,10,7,7.7,0.4,0.0
280,2013,10,8,15.3,1.3,0.0
281,2013,10,9,12.1,2.1,0.0
282,2013,10,10,13.9,2.0,0.0
283,2013,10,11,7.4,2.4,0.0
284,2013,10,12,6.1,-1.7,0.0
285,2013,10,13,7.4,1.0,0.0
286,2013,10,14,7.7,2.4,0.0
287,2013,10,15,10.1,3.7,0.0
288,2013,10,16,10.0,1.5,0.0
289,2013,10,17,10.8,0.8,0.0
290,2013,10,18,,,
291,2013,10,19,11.0,6.5,0.0
292,2013,10,20,8.8,5.9,0.0
293,2013,10,21,11.5,5.0,0.0
294,2013,10,22,7.2,3.7,0.0
295,2013,10,23,9.6,2.2,0.0
296,2013,10,24,11.2,3.7,0.0
297,2013,10,25,9.0,2.0,0.0
298,2013,10,26,9.0,0.4,0.0
299,2013,10,27,,,
300,2013,10,28,10.8,3.1,0.0
301,2013,10,29,7.6,1.2,0.0
302,2013,10,30,4.6,-2.6,0.0
303,2013,10,31,5.3,0.2,0.0
304,2013,11,1,17.1,1.0,0.0
305,2013,11,2,17.1,10.2,3.65
306,2013,11,3,10.2,2.3,0.0
307,2013,11,4,3.9,-1.7,0.0
308,2013,11,5,0.6,-2.5,0.0
309,2013,11,6,5.2,-2.3,0.0
310,2013,11,7,14.4,4.9,0.0
311,2013,11,8,15.6,11.6,3.6
312,2013,11,9,6.0,0.1,0.0
313,2013,11,10,3.5,-2.3,0.0
314,2013,11,11,5.8,-0.3,0.0
315,2013,11,12,8.8,0.3,0.0
316,2013,11,13,9.6,-0.6,0.0
317,2013,11,14,0.7,-1.4,0.0
318,2013,11,15,5.9,-0.3,0.0
319,2013,11,16,8.3,1.6,0.0
320,2013,11,17,8.5,4.6,0.0
321,2013,11,18,7.0,3.7,0.0
322,2013,11,19,6.0,4.1,0.0
323,2013,11,20,7.7,0.2,0.0
324,2013,11,21,4.2,-0.6,0.0
325,2013,11,22,3.3,1.1,0.0
326,2013,11,23,2.8,0.8,0.0
327,2013,11,24,3.5,-0.5,0.0
328,2013,11,25,0.5,-2.6,0.0
329,2013,11,26,1.4,-0.7,0.0
330,2013,11,27,7.3,1.0,0.0
331,2013,11,28,10.1,3.6,0.0
332,2013,11,29,4.3,-0.8,0.0
333,2013,11,30,-0.4,-10.0,0.0
334,2013,12,1,-2.0,-10.7,0.0
335,2013,12,2,3.4,-5.7,0.0
336,2013,12,3,9.2,3.4,0.0
337,2013,12,4,11.8,2.0,0.0
338,2013,12,5,2.7,-0.6,0.0
339,2013,12,6,9.1,-2.3,0.0
340,2013,12,7,6.3,-1.9,0.0
341,2013,12,8,-0.4,-7.4,0.0
342,2013,12,9,-3.4,-7.8,0.0
343,2013,12,10,0.4,-5.1,0.0
344,2013,12,11,-1.1,-9.0,0.0
345,2013,12,12,-6.0,-11.3,0.0
346,2013,12,13,-7.4,-12.9,0.0
347,2013,12,14,-8.0,-11.2,0.0
348,2013,12,15,-4.4,-9.5,0.0
349,2013,12,16,3.1,-3.2,0.0
350,2013,12,17,-2.9,-10.7,0.0
351,2013,12,18,3.8,-12.5,0.0
352,2013,12,19,5.3,-7.1,0.0
353,2013,12,20,-3.7,-7.7,0.0
354,2013,12,21,-0.2,-7.8,0.0
355,2013,12,22,0.6,-10.8,0.0
356,2013,12,23,-8.6,-11.4,0.0
357,2013,12,24,-4.4,-8.5,0.0
358,2013,12,25,-5.2,-11.6,0.0
359,2013,12,26,-5.2,-12.3,0.0
360,2013,12,27,1.9,-11.8,0.0
361,2013,12,28,-0.6,-6.8,0.0
362,2013,12,29,-0.7,-14.2,0.0
363,2013,12,30,-1.5,-13.4,0.0
364,2013,12,31,-2.3,-10.4,0.0
